Province,Year,registered_employment,region,n_projects,total_budget_sar,known_budget_count,total_area_sqm,known_area_count,at_risk_count,pct_projects,pct_budget,at_risk_rate,total_budget_sar_billion,new_projects_this_year,budget_started_this_year,active_projects,active_budget,completed_this_year,announced_projects,announced_budget,sector_hhi,real_estate_growth,real_estate_vs_own_2023,Population,is_population_extrapolated
Al-Madinah Al-Monawarah,2017,448990.0,Al-Madinah Al-Monawarah,71,211398546992.0,54,48995574.0,35,20,8.98,11.24,28.17,211.4,3.0,2200000000.0,52,116038822288.0,8.0,24,1244135218.0,0.14699074074074076,,,2053943.0,False
Al-Madinah Al-Monawarah,2018,391476.0,Al-Madinah Al-Monawarah,72,211398546992.0,54,49047074.0,36,20,8.77,11.11,27.78,211.4,1.0,0.0,45,60767390187.0,4.0,24,1244135218.0,0.147918188458729,,,2009884.0,False
Al-Madinah Al-Monawarah,2019,286799.0,Al-Madinah Al-Monawarah,73,211398546992.0,54,49397811.0,37,20,8.73,10.99,27.4,211.4,1.0,0.0,42,53713390187.0,4.0,24,1244135218.0,0.14923822714681442,,,2004830.0,False
Al-Madinah Al-Monawarah,2020,284772.0,Al-Madinah Al-Monawarah,73,211398546992.0,54,49397811.0,37,20,8.72,10.99,27.4,211.4,0.0,0.0,38,44313390187.0,0.0,24,1244135218.0,0.14923822714681442,,,2096074.0,False
Al-Madinah Al-Monawarah,2021,274522.0,Al-Madinah Al-Monawarah,73,211398546992.0,54,49397811.0,37,20,8.72,10.99,27.4,211.4,0.0,0.0,38,44313390187.0,1.0,24,1244135218.0,0.14923822714681442,,0.91565,2053240.0,False
Al-Madinah Al-Monawarah,2022,410794.0,Al-Madinah Al-Monawarah,73,211398546992.0,54,49397811.0,37,20,8.72,10.99,27.4,211.4,0.0,0.0,37,44313390187.0,0.0,24,1244135218.0,0.14923822714681442,6.800000000000001,0.9771,2137983.0,False
Al-Madinah Al-Monawarah,2023,430081.0,Al-Madinah Al-Monawarah,73,211398546992.0,54,49397811.0,37,20,8.72,10.99,27.4,211.4,0.0,0.0,37,44313390187.0,0.0,24,1244135218.0,0.14923822714681442,2.375,1.000225,2156106.2755113556,True
Al-Madinah Al-Monawarah,2024,469940.0,Al-Madinah Al-Monawarah,73,211398546992.0,54,49397811.0,37,20,8.72,10.99,27.4,211.4,0.0,0.0,37,44313390187.0,1.0,24,1244135218.0,0.14923822714681442,-0.8,0.9919499999999999,2174383.178584418,True
Al-Madinah Al-Monawarah,2025,482090.0,Al-Madinah Al-Monawarah,73,211398546992.0,54,49397811.0,37,20,8.72,10.99,27.4,211.4,0.0,0.0,36,19313390187.0,0.0,24,1244135218.0,0.14923822714681442,-4.675000000000001,0.9453499999999999,2192815.0114908265,True
Al-Qaseem,2017,492135.0,Al-Qaseem,28,7845733434.0,20,13666139.0,25,14,3.54,0.42,50.0,7.85,3.0,67068819.0,17,5356877434.0,5.0,18,771700000.0,0.2021604938271605,,,1285836.0,False
Al-Qaseem,2018,398799.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.53,0.41,48.28,7.85,1.0,7222359.0,13,5117349793.0,1.0,18,771700000.0,0.2077562326869806,,,1261835.0,False
Al-Qaseem,2019,361693.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.47,0.41,48.28,7.85,0.0,0.0,12,4866011106.0,4.0,18,771700000.0,0.2077562326869806,,,1260269.0,False
Al-Qaseem,2020,370016.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.46,0.41,48.28,7.85,0.0,0.0,8,4455770516.0,1.0,18,771700000.0,0.2077562326869806,,,1310168.0,False
Al-Qaseem,2021,401475.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.46,0.41,48.28,7.85,0.0,0.0,7,4448548157.0,1.0,18,771700000.0,0.2077562326869806,,0.9068,1289032.0,False
Al-Qaseem,2022,456419.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.46,0.41,48.28,7.85,0.0,0.0,6,4160000000.0,0.0,18,771700000.0,0.2077562326869806,10.175,0.9987,1336179.0,False
Al-Qaseem,2023,460620.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.46,0.41,48.28,7.85,0.0,0.0,6,4160000000.0,0.0,18,771700000.0,0.2077562326869806,0.25,1.0001,1346903.2865888323,True
Al-Qaseem,2024,512246.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.46,0.41,48.28,7.85,0.0,0.0,6,4160000000.0,0.0,18,771700000.0,0.2077562326869806,-3.375,0.966025,1357713.6472162772,True
Al-Qaseem,2025,526937.0,Al-Qaseem,29,7852955793.0,21,13690139.0,26,14,3.46,0.41,48.28,7.85,0.0,0.0,6,4160000000.0,0.0,18,771700000.0,0.2077562326869806,-1.65,0.950025,1368610.7727199078,True
Al-Riyadh,2017,4160804.0,Al-Riyadh,206,318073224067.0,88,334785924.52,159,73,26.04,16.92,35.44,318.07,22.0,918700000.0,136,273577582690.0,37.0,275,98009889768.0,0.183258056640625,,,8275538.0,False
Al-Riyadh,2018,3873581.0,Al-Riyadh,212,318125724067.0,89,334988724.52,163,73,25.82,16.71,34.43,318.13,6.0,52500000.0,105,264855369515.0,24.0,275,98009889768.0,0.1828070639009997,,,8030674.0,False
Al-Riyadh,2019,3887768.0,Al-Riyadh,213,318125724067.0,89,341533038.52,164,73,25.48,16.54,34.27,318.13,1.0,0.0,82,64621891074.0,20.0,275,98009889768.0,0.1825359827515879,,,7979262.0,False
Al-Riyadh,2020,3893471.0,Al-Riyadh,213,318125724067.0,89,341533038.52,164,73,25.45,16.54,34.27,318.13,0.0,0.0,62,44138611074.0,1.0,275,98009889768.0,0.1825359827515879,,,8422408.0,False
Al-Riyadh,2021,4056923.0,Al-Riyadh,213,318125724067.0,89,341533038.52,164,73,25.45,16.54,34.27,318.13,0.0,0.0,61,44138611074.0,1.0,275,98009889768.0,0.1825359827515879,,0.7829,8175378.0,False
Al-Riyadh,2022,4873968.0,Al-Riyadh,213,318125724067.0,89,341533038.52,164,73,25.45,16.54,34.27,318.13,0.0,0.0,60,44138611074.0,0.0,275,98009889768.0,0.1825359827515879,17.75,0.9209499999999999,8591748.0,False
Al-Riyadh,2023,5483811.0,Al-Riyadh,213,318125724067.0,89,341533038.52,164,73,25.45,16.54,34.27,318.13,0.0,0.0,60,44138611074.0,0.0,275,98009889768.0,0.1825359827515879,8.649999999999999,1.00015,8662451.271763884,True
Al-Riyadh,2024,6358023.0,Al-Riyadh,213,318125724067.0,89,341533038.52,164,73,25.45,16.54,34.27,318.13,0.0,0.0,60,44138611074.0,1.0,275,98009889768.0,0.1825359827515879,8.575,1.086325,8733736.375378296,True
Al-Riyadh,2025,7302880.0,Al-Riyadh,213,318125724067.0,89,341533038.52,164,73,25.45,16.54,34.27,318.13,0.0,0.0,59,44138611074.0,0.0,275,98009889768.0,0.1825359827515879,3.075,1.117575,8805608.098857908,True
Aseer,2017,448201.0,Aseer,11,7514654594.0,7,13672620.0,11,4,1.39,0.4,36.36,7.51,1.0,206250000.0,8,7006250000.0,1.0,19,5784066158.0,0.22666666666666668,,,1879189.0,False
Aseer,2018,398245.0,Aseer,12,7514654594.0,7,13678020.0,12,4,1.46,0.39,33.33,7.51,1.0,0.0,8,7006250000.0,1.0,19,5784066158.0,0.2265625,,,1863690.0,False
Aseer,2019,370869.0,Aseer,13,7514654594.0,7,13903020.0,13,4,1.56,0.39,30.77,7.51,1.0,0.0,8,5206250000.0,2.0,19,5784066158.0,0.22491349480968859,,,1876328.0,False
Aseer,2020,378786.0,Aseer,13,7514654594.0,7,13903020.0,13,4,1.55,0.39,30.77,7.51,0.0,0.0,6,1006250000.0,0.0,19,5784066158.0,0.22491349480968859,,,1958677.0,False
Aseer,2021,381985.0,Aseer,13,7514654594.0,7,13903020.0,13,4,1.55,0.39,30.77,7.51,0.0,0.0,6,1006250000.0,0.0,19,5784066158.0,0.22491349480968859,,0.9142,1943532.0,False
Aseer,2022,421577.0,Aseer,13,7514654594.0,7,13903020.0,13,4,1.55,0.39,30.77,7.51,0.0,0.0,6,1006250000.0,0.0,19,5784066158.0,0.22491349480968859,5.45,0.9636,2024285.0,False
Aseer,2023,428413.0,Aseer,13,7514654594.0,7,13903020.0,13,4,1.55,0.39,30.77,7.51,0.0,0.0,6,1006250000.0,0.0,19,5784066158.0,0.22491349480968859,3.875,1.00035,2055150.9727686152,True
Aseer,2024,464286.0,Aseer,13,7514654594.0,7,13903020.0,13,4,1.55,0.39,30.77,7.51,0.0,0.0,6,1006250000.0,0.0,19,5784066158.0,0.22491349480968859,-8.75,0.91265,2086487.5849358095,True
Aseer,2025,474538.0,Aseer,13,7514654594.0,7,13903020.0,13,4,1.55,0.39,30.77,7.51,0.0,0.0,6,1006250000.0,0.0,19,5784066158.0,0.22491349480968859,-4.275,0.8734999999999999,2118302.012735592,True
Eastern Region,2017,2191336.0,Eastern Region,131,357219002962.0,73,62272897.0,96,46,16.56,19.0,35.11,357.22,13.0,22969875006.0,96,129723586005.0,24.0,76,117440500000.0,0.17339484813533254,,,4853790.0,False
Eastern Region,2018,1992329.0,Eastern Region,141,363273002962.0,78,63596550.0,106,47,17.17,19.09,33.33,363.27,10.0,6054000000.0,82,126720073385.0,26.0,76,117440500000.0,0.17452409280190362,,,4746614.0,False
Eastern Region,2019,1847775.0,Eastern Region,144,365108002962.0,80,63854302.0,108,47,17.22,18.98,32.64,365.11,3.0,1835000000.0,59,119936462137.0,14.0,76,117440500000.0,0.17350926888737492,,,4740235.0,False
