name_project,name_truncated,sector_en,all_sectors,n_types,budget_project,area_sqm,region,city,is_multi_region,area_parse_status,has_budget,start_date,end_date,duration_days,start_year,start_date_precision,end_date_precision,status_en,is_at_risk,sectors,status_project,region_project
أبراج بوابة التحلية,False,Residential,"['Commercial', 'Residential', 'Sports']",3,,83000.0,Makkah Al-Mokarramah,جدة,False,ok,False,,,,,,,Proposed,False,سكني,المشاريع المقترحة,"منطقة مكة المكرمة, جدة"
برج سايفكو السعودية,False,Residential,['Residential'],1,,,Makkah Al-Mokarramah,جدة,False,empty,False,,,,,,,Announced,False,سكني,معلن عنه,"منطقة مكة المكرمة, جدة"
حي تلال مكة,False,Residential,"['Commercial', 'Residential']",2,,1266000.0,Makkah Al-Mokarramah,مكة المكرمة,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"مكة المكرمة, منطقة مكة المكرمة"
إسكان الدمام الجنوبي,False,Residential,"['Government', 'Infrastructure', 'Residential']",3,1082741882.0,5901351.0,Eastern Region,الدمام,False,ok,True,2013-10-21,2015-10-11,720.0,2013.0,exact,exact,Delayed,True,سكني,متأخر,"المنطقة الشرقية, الدمام"
إسكان الدمام الشمالي,False,Residential,"['Government', 'Infrastructure', 'Residential']",3,669206017.0,3934234.0,Eastern Region,الدمام,False,ok,True,2013-09-30,2015-09-08,708.0,2013.0,exact,exact,Delayed,True,سكني,متأخر,"المنطقة الشرقية, الدمام"
إسكان أبها – التعاون,False,Residential,"['Government', 'Infrastructure', 'Residential']",3,378100000.0,999774.0,Aseer,أبها,False,ok,True,2013-01-21,2015-12-31,1074.0,2013.0,exact,year-level,Delayed,True,سكني,متأخر,"منطقة عسير, أبها"
إسكان خميس مشيط,False,Residential,"['Government', 'Infrastructure', 'Residential']",3,130304594.0,4901633.0,Aseer,خميس مشيط,False,ok,True,2014-06-04,2016-05-24,720.0,2014.0,exact,exact,Delayed,True,سكني,متأخر,"منطقة عسير, خميس مشيط"
إسكان جدة الأمير فواز الجنوبي –   Prince Fawaz Housing Project SOUTH...,True,Residential,"['Government', 'Infrastructure', 'Residential']",3,480466305.0,2675225.0,Makkah Al-Mokarramah,جدة,False,ok,True,2013-09-09,2015-09-09,730.0,2013.0,exact,exact,Delayed,True,سكني,متأخر,"منطقة مكة المكرمة, جدة"
إسكان شمال مطار جدة,False,Residential,"['Government', 'Infrastructure', 'Residential']",3,338494446.0,1999999.0,Makkah Al-Mokarramah,جدة,False,ok,True,2013-08-18,2015-08-17,729.0,2013.0,exact,exact,Delayed,True,سكني,متأخر,"منطقة مكة المكرمة, جدة"
مجمع أنتارا السكني – Antara,False,Residential,"['Infrastructure', 'Residential']",2,748000000.0,157300.0,Al-Riyadh,الدرعية,False,ok,True,2015-02-01,2017-09-30,972.0,2015.0,month-level,month-level,Delayed,True,سكني,متأخر,"منطقة الرياض, الدرعية"
مشروع إسكان الأفراد والموظفين (القرية العمالية) بغرب ا�...,True,Residential,"['Commercial', 'Residential']",2,,710877.0,Al-Riyadh,الرياض,False,ok,False,2014-12-01,,,2014.0,month-level,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
مدينة مطار الملك عبدالعزيز الدولي,False,Residential,"['Commercial', 'Health', 'Hospitality', 'Leisure/Tourism', 'Residential']",5,,1000000.0,Makkah Al-Mokarramah,جدة,False,ok,False,2016-09-19,,,2016.0,exact,,Announced,False,سكني,معلن عنه,"منطقة مكة المكرمة, جدة"
تطوير درب الخليل,False,Residential,"['Commercial', 'Hospitality', 'Religious/Charity', 'Residential']",4,7000000000.0,65000.0,Makkah Al-Mokarramah,مكة المكرمة,False,ok,True,,,,,,,Announced,False,سكني,معلن عنه,"مكة المكرمة, منطقة مكة المكرمة"
كلية الجبيل الجامعية,False,Residential,"['Government', 'Residential', 'Scientific']",3,,2000000.0,Eastern Region,"الجبيل, الجبيل الصناعية",False,ok,False,2015-08-14,2019-12-31,1600.0,2015.0,exact,year-level,Under construction,False,سكني,تحت الإنشاء,"الجبيل, الجبيل الصناعية"
مجمع نمارق السكني – Namariq KAEC Residency,False,Residential,['Residential'],1,150000000.0,103276.0,Makkah Al-Mokarramah,مدينة الملك عبدالله الاقتصادية,False,ok,True,2015-01-01,2019-12-31,1825.0,2015.0,year-level,year-level,Under construction,False,سكني,تحت الإنشاء,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية"
واحة الفنون –  Art Oasis,False,Residential,"['Commercial', 'Leisure/Tourism', 'Residential']",3,120000000.0,11640.0,Al-Riyadh,الرياض,False,ok,True,,,,,,,Proposed,False,سكني,المشاريع المقترحة,"منطقة الرياض, الرياض"
مجمع عدن – EDEN,False,Residential,"['Commercial', 'Residential']",2,80000000.0,5000.0,Makkah Al-Mokarramah,جدة,False,ok,True,2015-05-01,2018-06-30,1156.0,2015.0,month-level,month-level,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
قرية البيضاء المستدامة,False,Residential,"['Government', 'Infrastructure', 'Residential']",3,,1000000.0,Makkah Al-Mokarramah,بحرة,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة مكة المكرمة, بحرة"
إسكان الأمير فواز التعاوني –  Prince Fawaz Cooperative Housing Project...,True,Residential,['Residential'],1,1352853000.0,5730000.0,Makkah Al-Mokarramah,جدة,False,ok,True,1974-01-01,1990-12-31,6208.0,1974.0,year-level,year-level,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
مشروع العقارية السكني بالحي الدبلوماسي,False,Residential,['Residential'],1,508000000.0,,Al-Riyadh,الرياض,False,empty,True,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
مجمع المروج السكني بالخبر,False,Residential,['Residential'],1,,18400.0,Eastern Region,الخبر,False,ok,False,,,,,,,Completed,False,سكني,مكتمل,"المنطقة الشرقية, الخبر"
أبراج كيلو 7 بجدة – Jeddah Kilo 7,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,,Makkah Al-Mokarramah,جدة,False,empty,False,,,,,,,Announced,False,سكني,معلن عنه,"منطقة مكة المكرمة, جدة"
مركز النمر,False,Residential,"['Commercial', 'Residential']",2,,11000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
الصحافة كورتر,False,Residential,['Residential'],1,,30000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Announced,False,سكني,معلن عنه,"منطقة الرياض, الرياض"
القرية الطبية بالرياض – Medical Village Riyadh,False,Residential,"['Commercial', 'Education', 'Health', 'Hospitality', 'Residential']",5,,250000.0,Al-Riyadh,الرياض,False,ok,False,2016-01-01,,,2016.0,year-level,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
دونز سنتر,False,Residential,"['Commercial', 'Leisure/Tourism', 'Residential']",3,,,Makkah Al-Mokarramah,جدة,False,empty,False,2015-09-01,,,2015.0,month-level,,Cancelled,True,سكني,ملغي,"منطقة مكة المكرمة, جدة"
مركز 7060,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,,Al-Riyadh,الرياض,False,empty,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
مساكن الرفيعه,False,Residential,['Residential'],1,,,Al-Riyadh,الرياض,False,empty,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
سكن منسوبي وزارة الحرس الوطني,False,Residential,"['Commercial', 'Education', 'Government', 'Health', 'Religious/Charity', 'Residential']",6,1500000000.0,718468.0,Makkah Al-Mokarramah,مدينة الملك عبدالله الاقتصادية,False,ok,True,,2017-12-31,,,,year-level,Delayed,True,سكني,متأخر,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية"
ضاحية قرية العقارية,False,Residential,"['Commercial', 'Infrastructure', 'Residential']",3,1130000000.0,2030889.0,Al-Riyadh,الرياض,False,ok,True,,,,,,,Announced,False,سكني,معلن عنه,"منطقة الرياض, الرياض"
مجمع العقارية بالوصيل,False,Residential,"['Commercial', 'Education', 'Health', 'Hospitality', 'Infrastructure', 'Residential']",6,2900000000.0,7000000.0,Al-Riyadh,الرياض,False,ok,True,,,,,,,Announced,False,سكني,معلن عنه,"منطقة الرياض, الرياض"
بيوت آغا,False,Residential,['Residential'],1,,,Eastern Region,,False,empty,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,المنطقة الشرقية
مبنى متعدد الأستخدام,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,,Al-Riyadh,الرياض,False,empty,False,,,,,,,Proposed,False,سكني,المشاريع المقترحة,"منطقة الرياض, الرياض"
جاردينيا ريزيدنس – Gardenia Residence,False,Residential,['Residential'],1,171000000.0,26000.0,Makkah Al-Mokarramah,جدة,False,ok,True,2014-01-01,2017-03-31,1185.0,2014.0,year-level,month-level,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
مجد سكوير – Majd Square,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,28670.0,Eastern Region,الجبيل,False,ok,False,2015-12-01,2018-05-31,912.0,2015.0,month-level,month-level,Delayed,True,سكني,متأخر,"المنطقة الشرقية, الجبيل"
منازل قرطبة,False,Residential,['Residential'],1,,497000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
برج الجوهرة,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,,Makkah Al-Mokarramah,جدة,False,empty,False,2009-11-09,2014-01-26,1539.0,2009.0,exact,exact,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
بوابة الشرق – East Gate,False,Residential,['Residential'],1,,6544314.0,Al-Riyadh,الرياض,False,ok,False,2019-01-01,,,2019.0,year-level,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
مجمع النفل السكني,False,Residential,['Residential'],1,,13000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
مجمع الديار السكني,False,Residential,['Residential'],1,417999999.0,106000.0,Al-Riyadh,الرياض,False,ok,True,,2015-03-09,,,,exact,Completed,False,سكني,مكتمل,"منطقة الرياض, الرياض"
برج رمله – Burj Ramla,False,Residential,"['Commercial', 'Residential']",2,600000000.0,,Al-Riyadh,الرياض,False,empty,True,2016-03-01,2018-08-22,904.0,2016.0,month-level,exact,Delayed,True,سكني,متأخر,"منطقة الرياض, الرياض"
بيوت الملقا,False,Residential,['Residential'],1,,,Al-Riyadh,الرياض,False,empty,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
مشروع إنشاء سكن أعضاء هيئة تدريب معهد الإدارة ( المرحلة...,True,Residential,"['Education', 'Residential']",2,190596309.0,324654.0,Al-Riyadh,الرياض,False,ok,True,2010-02-27,2012-08-27,912.0,2010.0,exact,exact,Delayed,True,سكني,متأخر,"منطقة الرياض, الرياض"
المدينة السكنية في وعد الشمال,False,Residential,"['Infrastructure', 'Residential']",2,563000000.0,,Northern Borders,وعد الشمال,False,empty,True,2015-04-06,2017-02-01,667.0,2015.0,exact,exact,Delayed,True,سكني,متأخر,"وعد الشمال, منطقة الحدود الشمالية"
إسكان رياض الخبراء,False,Residential,"['Infrastructure', 'Residential']",2,,110000.0,Al-Qaseem,رياض الخبراء,False,ok,False,,2016-05-23,,,,exact,Completed,False,سكني,مكتمل,"منطقة القصيم, رياض الخبراء"
مشروع الرائدة السكني – Public Pension Agency Project,False,Residential,"['Commercial', 'Education', 'Health', 'Hospitality', 'Infrastructure', 'Religious/Charity', 'Residential']",7,,2500000.0,Makkah Al-Mokarramah,جدة,False,ok,False,2014-04-02,2024-12-31,3926.0,2014.0,exact,year-level,Under construction,False,سكني,تحت الإنشاء,"منطقة مكة المكرمة, جدة"
كمباوند المرجان,False,Residential,['Residential'],1,,13500.0,Makkah Al-Mokarramah,جدة,False,ok,False,,2014-08-01,,,,exact,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
اسكان ينبع النخل – Yanbu Al Nakhl Housing,False,Residential,"['Infrastructure', 'Residential']",2,99090299.0,300000.0,Al-Madinah Al-Monawarah,ينبع,False,ok,True,2015-01-02,,,2015.0,exact,,Stalled,True,سكني,متعثر,"ينبع, منطقة المدينة المنورة"
الدرعية فستيفال سيتي,False,Residential,"['Commercial', 'Hospitality', 'Leisure/Tourism', 'Residential']",4,6000000000.0,496340.0,Al-Riyadh,الدرعية,False,ok,True,2016-12-31,2019-12-31,1095.0,2016.0,exact,year-level,Announced,False,سكني,معلن عنه,"منطقة الرياض, الدرعية"
فندق الرياض سوفيتيل – Sofitel Hotels Riyadh,False,Residential,"['Hospitality', 'Residential']",2,,108532.0,Al-Riyadh,الرياض,False,ok,False,2012-11-17,2015-12-31,1139.0,2012.0,exact,year-level,Delayed,True,سكني,متأخر,"منطقة الرياض, الرياض"
إسكان منطقة حائل,False,Residential,['Residential'],1,499448770.0,,Hail,حائل,False,empty,True,2013-09-09,,,2013.0,exact,,Under construction,False,سكني,تحت الإنشاء,"منطقة حائل, حائل"
اسكان الطلاب- جامعة جازان,False,Residential,"['Education', 'Government', 'Residential']",3,,,Jazan,جازان,False,empty,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة جازان, جازان"
ضاحية الملك عبدالله,False,Residential,"['Government', 'Infrastructure', 'Residential']",3,,,Jazan,جازان,False,empty,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة جازان, جازان"
مجمع القصر,False,Residential,['Residential'],1,2000000000.0,816000.0,Al-Riyadh,الرياض,False,ok,True,,2007-06-24,,,,exact,Completed,False,سكني,مكتمل,"منطقة الرياض, الرياض"
شمس الرياض – SHAMS ARRIYADH,False,Residential,['Residential'],1,5800000000.0,400600.0,Al-Riyadh,الرياض,False,ok,True,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
إسكان ضاحية الملك عبدالله – King Abdullah Housing Complex,False,Residential,['Residential'],1,2000000000.0,1600000.0,Jazan,جازان,False,ok,True,2016-03-01,,,2016.0,month-level,,Under construction,False,سكني,تحت الإنشاء,"منطقة جازان, جازان"
فلل التلال,False,Residential,['Residential'],1,,303360.0,Al-Madinah Al-Monawarah,المدينة المنورة,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة المدينة المنورة, المدينة المنورة"
ذاخر مكة  المرحلة 1 – Thakher Makkah Phase 1,False,Residential,"['Commercial', 'Hospitality', 'Infrastructure', 'Leisure/Tourism', 'Residential']",5,12000000000.0,320000.0,Makkah Al-Mokarramah,مكة المكرمة,False,ok,True,2013-12-05,,,2013.0,exact,,Under construction,False,سكني,تحت الإنشاء,"مكة المكرمة, منطقة مكة المكرمة"
فنادق ومنتجعات جدة – Jeddah Hotels & Resort,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,60000000.0,5600.0,Makkah Al-Mokarramah,جدة,False,ok,True,,,,,,,Proposed,False,سكني,المشاريع المقترحة,"منطقة مكة المكرمة, جدة"
برج ماسك الكورنيش – Corniche MASIC Tower,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,700000000.0,42000.0,Makkah Al-Mokarramah,جدة,False,ok,True,,2019-12-31,,,,year-level,Announced,False,سكني,معلن عنه,"منطقة مكة المكرمة, جدة"
